name,address,number_,geo_point_2d,latitud,longitud
137_CALLE_ECONOMISTA_GAY,Economista Gay - Luis Crumiere,137,"39.48903338344832,-0.3798963873712934",39.48903338344832,-0.3798963873712934
138_SAN_PANCRACIO,San Pancracio - Periodista Llorente,138,"39.48819038284581,-0.38422240207482833",39.48819038284581,-0.38422240207482833
139_C/ REUS,Reus - Alquería de la Estrella,139,"39.485706374097916,-0.38287339995719183",39.485706374097916,-0.38287339995719183
014_BARÓN CARCER,Huesca - Barón de Cárcer,14,"39.46896731649349,-0.37972440222295445",39.46896731649349,-0.37972440222295445
140_AVENIDA_CAMPANAR,Campanar - Nicasio Benlloch,140,"39.48800438494039,-0.3896004206542252",39.48800438494039,-0.3896004206542252
141_C/ GREGORIO GEA (PEATONAL),Gregorio Gea - Padre Ferris,141,"39.483268367245344,-0.3851564091174212",39.483268367245344,-0.3851564091174212
142_C/ GREGORIO GEA (PEATONAL),Gregorio Gea - Profesor Beltrán Báguena,142,"39.48192036501599,-0.38965942617943544",39.48192036501599,-0.38965942617943544
143_AVDA. MENENDEZ PIDAL,Pio XII - Menéndez PIdal (Nuevo Centro),143,"39.4795373575288,-0.39093643241708165",39.4795373575288,-0.39093643241708165
144_CALLE_MARQUES_DE_SAN_JUAN,Marqués de San Juan - Diputat Lluís Lucía,144,"39.4787793569025,-0.39548044804080085",39.4787793569025,-0.39548044804080085
145_PLAZA_BADAJOZ,Plaza Badajoz,145,"39.48154736759815,-0.398395456094638",39.48154736759815,-0.398395456094638
146_AVDA. CAMPANAR,Av. Campanar (La Fe),146,"39.48511037548845,-0.3909524281114989",39.48511037548845,-0.3909524281114989
147_CALLE_PIE_DE_LA_CRUZ_CALLE_DE_LA_REJA,Pie de la Cruz - Rejas,147,"39.47320133107913,-0.3802074001545322",39.47320133107913,-0.3802074001545322
148_XÀTIVA_PLAZA_DE_TOROS,C/Xàtiva 30-32,148,"39.46714522461298,-0.3753782937388751",39.46714522461298,-0.3753782937388751
149_AVDA. PERIS Y VALERO,Peris y Valero - Salamanca,149,"39.462934287947085,-0.36179534600499663",39.462934287947085,-0.36179534600499663
015_RIBERA,Ribera - Plaza Ayuntamiento,15,"39.46908831533384,-0.3756373880434071",39.46908831533384,-0.3756373880434071
150_DR. MANUEL CANDELA,Manuel Candela - Rodriguez de Cepeda,150,"39.46772129856667,-0.35060930364544307",39.46772129856667,-0.35060930364544307
151_JERONIMO MONSORIU,Jerónimo Monsoriu - Alcalde Cano Coloma,151,"39.464669282422186,-0.33711726031421224",39.464669282422186,-0.33711726031421224
152_C/ LITERATO AZORÍN,Reina Doña María - Cádiz,152,"39.460925286769694,-0.3727053849231208",39.460925286769694,-0.3727053849231208
153_C/ LLANO DE ZAIDA,Llano de la Zaidía - Doctor Olóriz,153,"39.48305822805289,-0.3805912745331588",39.48305822805289,-0.3805912745331588
154_PESCADORES,Pescadores - Progreso,154,"39.469876296228996,-0.3295542305651281",39.469876296228996,-0.3295542305651281
155_C/ SALAMANCA,Salamanca - Reina Doña Germana,155,"39.46495329574819,-0.3630783484267159",39.46495329574819,-0.3630783484267159
156_C/ CUBA,Puerto Rico - Cuba,156,"39.46096428829767,-0.3763453968184098",39.46096428829767,-0.3763453968184098
157_AVENIDA_PEREZ_GALDOS,Pérez Galdós - Marqués de Zenete,157,"39.46405230416093,-0.38736643250783204",39.46405230416093,-0.38736643250783204
158_DR.LLUNCH,Doctor Lluch - Virgen del Sufragio,158,"39.46669828513057,-0.3277192268301427",39.46669828513057,-0.3277192268301427
159_FRANCISCO CUBELLS,Francisco Cubells - San José de la Vega,159,"39.463449276866356,-0.3347222532485526",39.463449276866356,-0.3347222532485526
016_COLON I,"Colón, 60",16,"39.470092316192336,-0.3704333693720587",39.470092316192336,-0.3704333693720587
160_JOSE MARIA DE HARO,José María de Haro - Justo y Pastor,160,"39.467336291769534,-0.33898126470999496",39.467336291769534,-0.33898126470999496
161_MEDITERRANEO,Mediterráneo - Plaza Cruz de Cañamelar,161,"39.46796929073871,-0.3317262387298495",39.46796929073871,-0.3317262387298495
162_PZA. ARMADA ESPAÑOLA,Armada Española - Mariano Cuber,162,"39.46360427573933,-0.3297952360224295",39.46360427573933,-0.3297952360224295
163_PASEO NEPTUNO,Paseo Neptuno 32-34,163,"39.46443727525528,-0.3234012136184579",39.46443727525528,-0.3234012136184579
